row,Happiness_Rank,Country,Region,Happiness_Score,GDP_per_Capita,Social_Support,Life_Expectancy,Freedom,Government_Corruption,Generosity,Year
36,37,Slovakia,Central and Eastern Europe,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.011291441,0.116729774,2020
37,38,Uzbekistan,Commonwealth of Independent States,6.257599831,0.696652949,1.434020042,0.716703713,0.693270326,0.280260265,0.363311023,2020
38,39,Chile,Latin America and Caribbean,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.06284935,0.155579001,2020
39,40,Bahrain,Middle East and North Africa,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.126697257,0.287453711,2020
40,41,Lithuania,Central and Eastern Europe,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,0.081350274,0.053691041,2020
41,42,Trinidad and Tobago,Latin America and Caribbean,6.191899776,1.167641521,1.407326221,0.658828557,0.55293113,0.015078396,0.199358255,2020
42,43,Poland,Central and Eastern Europe,6.186299801,1.16922915,1.310399771,0.868038476,0.557903528,0.160541251,0.063374244,2020
43,44,Colombia,Latin America and Caribbean,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.04584837,0.092374094,2020
44,45,Cyprus,Western Europe,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,0.051207144,0.227932334,2020
45,46,Nicaragua,Latin America and Caribbean,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.174084574,0.212871477,2020
46,47,Romania,Central and Eastern Europe,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,0.000829569,0.068181619,2020
47,48,Kuwait,Middle East and North Africa,6.102099895,1.424833655,1.244779825,0.776468933,0.570261419,0.112814933,0.132751092,2020
48,49,Mauritius,Sub-Saharan Africa,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.084088229,0.186894551,2020
49,50,Kazakhstan,Commonwealth of Independent States,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,0.110463686,0.153713793,2020
50,51,Estonia,Central and Eastern Europe,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.201766819,0.125136748,2020
51,52,Philippines,Southeast Asia,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.130385727,0.129260212,2020
52,53,Hungary,Central and Eastern Europe,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.027548173,0.070491239,2020
53,54,Thailand,Southeast Asia,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.031837862,0.376709014,2020
54,55,Argentina,Latin America and Caribbean,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.060415059,0.070100471,2020
55,56,Honduras,Latin America and Caribbean,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,0.086807102,0.256528199,2020
56,57,Latvia,Central and Eastern Europe,5.949999809,1.14139545,1.414398789,0.777902424,0.329198807,0.090391524,0.075407945,2020
57,58,Ecuador,Latin America and Caribbean,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.086753383,0.115006477,2020
58,59,Portugal,Western Europe,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.027733466,0.053036947,2020
59,60,Jamaica,Latin America and Caribbean,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.030147785,0.116268493,2020
60,61,South Korea,East Asia,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.094596282,0.170303866,2020
61,62,Japan,East Asia,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.181439638,0.03571178,2020
62,63,Peru,Latin America and Caribbean,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.02703266,0.091611817,2020
63,64,Serbia,Central and Eastern Europe,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.059447147,0.15028289,2020
64,65,Bolivia,Latin America and Caribbean,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.072942637,0.138375074,2020
65,66,Pakistan,South Asia,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.122592121,0.228705063,2020
66,67,Paraguay,Latin America and Caribbean,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.065077379,0.204299241,2020
67,68,Dominican Republic,Latin America and Caribbean,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.115945682,0.112196781,2020
68,69,Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.001172487,0.264005244,2020
69,70,Moldova,Commonwealth of Independent States,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.014378744,0.174049184,2020
70,71,Tajikistan,Commonwealth of Independent States,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.221779913,0.182417125,2020
71,72,Montenegro,Central and Eastern Europe,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.098435111,0.14901033,2020
72,73,Russia,Commonwealth of Independent States,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.045699362,0.099041916,2020
73,74,Kyrgyzstan,Commonwealth of Independent States,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,0.030466691,0.30137074,2020
